location_1,email_domain,count
"Dayton, Ohio",gmail.com,34
"Ventura, California",gmail.com,34
"Clifton, New Jersey",yahoo.com,33
"Los Angeles, California",me.com,33
"Oklahoma City, Oklahoma",yahoo.com,33
"Chicago, Illinois",ymail.com,33
"Miami, Florida",msn.com,33
"Bradenton, Florida",gmail.com,33
"Bessemer, Alabama",gmail.com,33
"Ashburn, Virginia",gmail.com,33
"New York, New York",mac.com,33
"Manassas, Virginia",gmail.com,33
"Oceanside, California",gmail.com,33
"Miami, Florida",comcast.net,33
"Arlington, Virginia",hotmail.com,33
"Clarksville, Tennessee",yahoo.com,33
"Denton, Texas",yahoo.com,33
"Santa Ana, California",hotmail.com,33
"Killeen, Texas",gmail.com,33
"Union City, New Jersey",yahoo.com,33
"Kingston, Jamaica",yahoo.com,33
"Mission, Texas",gmail.com,33
"Downey, California",yahoo.com,33
"Pell City, Alabama",yahoo.com,33
"Bridgeport, Connecticut",aol.com,33
"Riverside, California",hotmail.com,33
"Aurora, Illinois",yahoo.com,33
"Spokane, Washington",gmail.com,32
"Fullerton, California",yahoo.com,32
"Bronx, New York",live.com,32
"Akron, Ohio",yahoo.com,32
"Northport, Alabama",yahoo.com,32
"Kearny, New Jersey",hotmail.com,32
"Memphis, Tennessee",hotmail.com,32
"Bloomington, Indiana",gmail.com,32
"Glendale, California",gmail.com,32
"Sonora, California",yahoo.com,32
"Cape Coral, Florida",yahoo.com,32
"Moreno Valley, California",yahoo.com,32
"Yonkers, New York",yahoo.com,32
"Jacksonville, Illinois",yahoo.com,32
"Santa Cruz, California",gmail.com,32
"Santa Fe, New Mexico",gmail.com,32
"Lafayette, Louisiana",gmail.com,32
"Anchorage, Alaska",gmail.com,32
"Compton, California",gmail.com,32
"New York, New York",ymail.com,32
"Bradenton, Florida",yahoo.com,32
"Mattoon, Illinois",yahoo.com,32
"Fredericksburg, Virginia",gmail.com,32
"College Station, Texas",gmail.com,32
"Philadelphia, Pennsylvania",comcast.net,32
"Auburn, Washington",gmail.com,32
"Anchorage, Alaska",yahoo.com,32
"Lake Worth, Florida",yahoo.com,32
"Glendale, Arizona",gmail.com,31
"Miramar, Florida",hotmail.com,31
"Northport, Alabama",gmail.com,31
"Fort Collins, Colorado",gmail.com,31
"Venice, California",gmail.com,31
"Torrance, California",yahoo.com,31
"Chapel Hill, North Carolina",gmail.com,31
"Kansas City, Kansas",yahoo.com,31
"Newark, Delaware",gmail.com,31
"Meridian, Idaho",yahoo.com,31
"Chula Vista, California",hotmail.com,31
"Norwalk, Connecticut",hotmail.com,31
"Fullerton, California",gmail.com,31
"Oakdale, California",yahoo.com,31
"Lauderhill, Florida",yahoo.com,31
"Chandler, Arizona",yahoo.com,31
"Ithaca, New York",gmail.com,31
"Ogden, Utah",yahoo.com,31
"Garden Grove, California",yahoo.com,31
"Crown Point, Indiana",yahoo.com,31
"Nampa, Idaho",hotmail.com,31
"Worcester, Massachusetts",yahoo.com,31
"Stamford, Connecticut",aol.com,31
"Sugar Land, Texas",yahoo.com,31
"Fairfax, Virginia",yahoo.com,31
"Falls Church, Virginia",gmail.com,31
"Fayetteville, North Carolina",gmail.com,31
"Plantation, Florida",gmail.com,31
"Ceres, California",gmail.com,31
"San Bernardino, California",gmail.com,30
"Everett, Washington",yahoo.com,30
"Melbourne, Florida",gmail.com,30
"Federal Way, Washington",gmail.com,30
"Waco, Texas",gmail.com,30
"Chesapeake, Virginia",gmail.com,30
"Scottsdale, Arizona",yahoo.com,30
"Caracas, Venezuela",hotmail.com,30
"Urbana, Illinois",yahoo.com,30
"Ocala, Florida",gmail.com,30
"California City, California",gmail.com,30
"Downey, California",gmail.com,30
"Naperville, Illinois",gmail.com,30
"Hyattsville, Maryland",yahoo.com,30
"Upper Marlboro, Maryland",yahoo.com,30
"Pompano Beach, Florida",hotmail.com,30
"West New York, New Jersey",hotmail.com,30
"Union City, New Jersey",gmail.com,30
"La Porte, Indiana",gmail.com,30
"Kansas City, Missouri",hotmail.com,30
"West New York, New Jersey",gmail.com,30
"Worcester, Massachusetts",gmail.com,30
"Lewiston, Idaho",gmail.com,30
"Chicago, Illinois",comcast.net,30
"Ontario, California",yahoo.com,30
"Pomona, California",yahoo.com,30
"Dallas, Texas",live.com,30
"Salinas, California",yahoo.com,30
"Beaverton, Oregon",gmail.com,30
"London, United Kingdom",gmail.com,30
"Brainerd, Minnesota",yahoo.com,30
